id,label
1,0.524501
2,0.538299
3,0.535666
4,0.531114
5,0.526373
6,0.532166
7,0.529564
8,0.527053
9,0.529764
10,0.529147
11,0.530748
12,0.529628
13,0.530141
14,0.532146
15,0.530114
16,0.529543
17,0.526356
18,0.528741
19,0.52865
20,0.530031
21,0.531636
22,0.531981
23,0.528445
24,0.533774
25,0.529005
26,0.527647
27,0.526446
28,0.527105
29,0.53044
30,0.534275
31,0.526964
32,0.527594
33,0.53323
34,0.535457
35,0.528942
36,0.530941
37,0.530162
38,0.527119
39,0.526311
40,0.536252
41,0.52798
42,0.529279
43,0.528161
44,0.533844
45,0.529258
46,0.53112
47,0.526265
48,0.5296
49,0.535721
50,0.527073
51,0.532475
52,0.530211
53,0.525309
54,0.528952
55,0.528529
56,0.530094
57,0.531226
58,0.523935
59,0.531839
60,0.52615
61,0.529665
62,0.524276
63,0.53113
64,0.526576
65,0.526402
66,0.52845
67,0.53005
68,0.530138
69,0.530505
70,0.528499
71,0.527904
72,0.525987
73,0.526841
74,0.533366
75,0.530203
76,0.530132
77,0.530807
78,0.528821
79,0.525879
80,0.528661
81,0.527638
82,0.529766
83,0.529117
84,0.531036
85,0.526443
86,0.52765
87,0.526405
88,0.530481
89,0.531823
90,0.526639
91,0.528984
92,0.530012
93,0.526024
94,0.527618
95,0.528019
96,0.529361
97,0.529274
98,0.531226
99,0.529109
100,0.527897
101,0.528961
102,0.536143
103,0.53838
104,0.526527
105,0.532264
106,0.52453
107,0.526033
108,0.524424
109,0.538669
110,0.530165
111,0.52825
112,0.526868
113,0.52874
114,0.525457
115,0.531011
116,0.526278
117,0.528936
118,0.528077
119,0.523836
120,0.522582
121,0.53166
122,0.531584
123,0.525328
124,0.531398
125,0.530491
126,0.531444
127,0.533485
128,0.527827
129,0.52554
130,0.52648
131,0.524398
132,0.535014
133,0.529899
134,0.527567
135,0.529261
136,0.527424
137,0.525663
138,0.530728
139,0.527047
140,0.534349
141,0.526982
142,0.525566
143,0.53607
144,0.52754
145,0.533499
146,0.529091
147,0.523244
148,0.525736
149,0.527227
150,0.532031
151,0.52889
152,0.528364
153,0.532498
154,0.53778
155,0.528562
156,0.529004
157,0.530044
158,0.536695
159,0.533322
160,0.530193
161,0.527204
162,0.530972
163,0.525047
164,0.528452
165,0.529011
166,0.527487
167,0.533667
168,0.531137
169,0.527122
170,0.526066
171,0.527644
172,0.530939
173,0.526897
174,0.527245
175,0.530515
176,0.538482
177,0.52947
178,0.529788
179,0.530155
180,0.526835
181,0.527362
182,0.530857
183,0.53176
184,0.523277
185,0.525623
186,0.532482
187,0.528162
188,0.522774
189,0.526387
190,0.528884
191,0.526747
192,0.530303
193,0.527527
194,0.528704
195,0.531558
196,0.528678
197,0.529369
198,0.532314
199,0.529876
200,0.533305
201,0.531154
202,0.528902
203,0.529941
204,0.531217
205,0.530387
206,0.526538
207,0.529695
208,0.531617
209,0.526166
210,0.528323
211,0.533979
212,0.528531
213,0.528105
214,0.534242
215,0.527148
216,0.530446
217,0.5295
218,0.525075
219,0.528554
220,0.526617
