id,label
10438,0.918949
12309,0.393069
10240,0.015431
10851,0.781105
11269,0.978058
5698,0.207582
5273,0.982747
12445,0.0425613
7626,0.0321432
7692,0.558466
871,0.997488
1846,0.41894
9165,0.9999
4335,0.816001
796,0.984278
8408,0.842323
2771,0.997722
7299,0.0862767
8955,0.654295
7932,0.998
2168,0.00719796
6378,0.0974228
9689,0.155478
10669,0.0122937
2510,0.994173
6768,0.912292
11827,0.999614
716,0.963027
1938,0.926321
10105,0.219303
8891,0.558953
384,0.997749
11125,0.975569
9082,0.169561
2574,0.0353427
12377,0.953408
377,0.604003
3190,0.0444527
11923,0.941323
8267,0.956728
942,0.0720755
4522,0.0306699
4411,0.980196
220,0.803127
7973,0.0193286
9762,0.00761822
1970,0.885182
3637,0.947071
7662,0.996739
4929,0.953896
2690,0.0232379
5586,0.895889
8800,0.996365
5545,0.109762
6296,0.0617848
9322,0.301386
2115,0.606968
4859,0.430805
6987,0.201843
11109,0.148824
9512,0.011199
4447,0.947837
2102,0.210321
581,0.998722
11030,0.945455
3788,0.845566
2920,0.0695022
2131,0.0408519
3056,0.0542799
9468,0.0553393
9776,0.567216
2595,0.973969
7450,0.991746
11346,0.82875
5236,0.999212
1811,0.998306
6484,0.0786198
4576,0.00411155
9211,0.0489482
11782,0.879437
10089,0.0948391
4916,0.123566
1090,0.107289
5614,0.342749
1945,0.282605
6877,0.943928
4038,0.110362
10911,0.907211
4318,0.00246641
4702,0.924755
6288,0.831953
10267,0.0293306
2385,0.987471
7469,0.911951
2777,0.988558
1073,0.206651
1796,0.0554505
6898,0.790951
4198,0.754917
85,0.97958
2606,0.974207
11943,0.00322858
4010,0.268274
2232,0.915267
11516,0.997617
5543,0.652687
2149,0.000732635
7190,0.987708
2957,0.779867
9395,0.162369
10047,0.972659
7796,0.455835
6384,0.761923
9057,0.0428574
9987,0.961234
1288,0.77856
323,0.227629
12049,0.680328
10549,0.357992
6276,0.134082
2301,0.880211
3942,0.990555
5238,0.915351
5814,0.00648811
3743,0.0500809
11463,0.0673132
5707,0.190699
7531,0.900374
3461,0.0733999
1399,0.99995
6791,0.67609
10990,0.992203
12020,0.219081
11729,0.953432
6249,0.380845
5812,0.576255
417,0.771756
3367,0.999583
10349,0.924283
2039,0.223112
4999,0.97502
5576,0.085348
547,0.866432
11652,0.0752905
4724,0.873674
9528,0.0424335
8532,0.537124
3652,0.912295
6492,0.831049
11140,0.999213
8439,0.994327
11622,0.00805073
9764,0.862698
1503,0.00258279
5050,0.889997
9077,0.464727
1663,0.0800914
6012,0.805962
6819,0.843579
6679,0.987771
9189,0.815624
6356,0.97037
9891,0.962049
11975,0.990748
2436,0.995653
8206,0.884546
2352,0.035094
5400,0.882647
10718,0.0720425
177,0.347615
8055,0.96864
1395,0.595928
4861,0.970107
2084,0.998013
1962,0.835807
437,0.0332662
8897,0.853
2969,0.912985
2873,0.00889878
6651,0.948891
7775,0.801165
7014,0.0295472
1314,0.759419
12118,0.0223475
12380,0.914043
7441,0.0267007
12443,0.883807
9157,0.276139
6336,0.0136903
2205,0.00181078
8131,0.987757
5498,0.295665
5606,0.134896
7971,0.0285358
8252,0.626793
3963,0.151652
1250,0.884761
6552,0.620379
8254,0.347426
246,0.165732
3216,0.903763
12448,0.987009
6777,0.00902346
7846,0.522272
2889,0.989407
10338,0.14653
6437,0.16508
10872,0.263121
3225,0.105764
10073,0.879624
3146,0.00478694
873,0.741549
11340,0.948276
11276,0.0139457
10037,0.140422
11733,0.999473
53,0.182852
7222,0.98203
10452,0.911759
51,0.0921105
1130,0.88804
10959,0.510703
11674,0.030281
8656,0.0939232
11263,0.253066
7658,0.770896
10253,0.397277
1385,0.972926
11597,0.110826
71,0.936336
10827,0.0779744
10552,0.012692
7997,0.0226461
4580,0.179655
3834,0.0190248
593,0.961497
5169,0.0112686
7106,0.664075
6979,0.0526103
11500,0.492789
2880,0.380625
11084,0.503269
602,0.20498
10800,0.136836
345,0.190765
4295,0.983398
1641,0.556994
11371,0.641427
6527,0.377536
3428,0.30641
638,0.0156435
9736,0.310546
9111,0.963787
5704,0.0769802
487,0.799422
11892,0.927229
242,0.806248
3726,0.0987275
4634,0.450926
4798,0.0495109
5116,0.720113
11051,0.978388
6923,0.998929
6209,0.0473531
12074,0.815057
1547,0.187649
9694,0.418426
5582,0.129726
9668,0.903186
4504,0.071908
1320,0.242173
12151,0.0940529
730,0.955337
5522,0.776651
5096,0.997082
7623,0.0938743
9243,0.0138408
1639,0.358158
1620,0.983727
2302,0.887553
7000,0.997212
441,0.0272159
9058,0.935534
4985,0.108811
410,0.0305699
9634,0.708674
8515,0.96848
9150,0.0880337
1794,0.933769
10923,0.0390588
8953,0.813625
10320,0.95238
6741,0.87347
1592,0.124674
12112,0.947389
7449,0.268213
9767,0.849062
10446,0.487076
