id,label
1,0.905318
2,0.966523
3,0.825368
4,0.99916
5,0.296722
6,0.262889
7,0.0803381
8,0.421959
9,0.0692062
10,0.221535
11,0.0211689
12,0.822383
13,0.228495
14,0.0686932
15,0.134444
16,0.0671495
17,0.87905
18,0.988414
19,0.285416
20,0.0691076
21,0.729551
22,0.0707022
23,0.620366
24,0.979287
25,0.727753
26,0.487795
27,0.845762
28,0.0442905
29,0.789741
30,0.947217
31,0.858127
32,0.262355
33,0.905329
34,0.118892
35,0.459382
36,0.682056
37,0.0746449
38,0.311748
39,0.85103
40,0.0571306
41,0.718527
42,0.996292
43,0.913641
44,0.332539
45,0.524207
46,0.796273
47,0.570975
48,0.962644
49,0.984672
50,0.427231
51,0.428395
52,0.204136
53,0.194848
54,0.0680152
55,0.102844
56,0.718826
57,0.98483
58,0.206698
59,0.890533
60,0.581917
61,0.441502
62,0.753911
63,0.321577
64,0.626294
65,0.996852
66,0.370866
67,0.72622
68,0.307661
69,0.968318
70,0.953904
71,0.810436
72,0.865332
73,0.994624
74,0.996746
75,0.719597
76,0.202621
77,0.944753
78,0.89244
79,0.268973
80,0.0600347
81,0.518837
82,0.6377
83,0.987627
84,0.0394728
85,0.975923
86,0.578512
87,0.336318
88,0.497463
89,0.137659
90,0.38626
91,0.288174
92,0.297565
93,0.0290447
94,0.883012
95,0.922458
96,0.200175
97,0.706612
98,0.779538
99,0.280369
100,0.36984
101,0.320505
102,0.698284
103,0.114459
104,0.198682
105,0.262723
106,0.826605
107,0.275795
108,0.848498
109,0.390485
110,0.992006
111,0.426064
112,0.328341
113,0.690392
114,0.116261
115,0.732044
116,0.00574809
117,0.0548264
118,0.815424
119,0.880141
120,0.183036
121,0.644519
122,0.0323206
123,0.293198
124,0.106695
125,0.236155
126,0.189287
127,0.883898
128,0.465433
129,0.507113
130,0.10804
131,0.822188
132,0.978254
133,0.137185
134,0.26619
135,0.016778
136,0.318668
137,0.942804
138,0.531202
139,0.699124
140,0.212699
141,0.277407
142,0.399451
143,0.998727
144,0.122829
145,0.19806
146,0.989821
147,0.513634
148,0.46429
149,0.064323
150,0.27682
151,0.652969
152,0.291272
153,0.0798801
154,0.0489834
155,0.617107
156,0.486047
157,0.286061
158,0.981686
159,0.609591
160,0.196236
161,0.808124
162,0.637291
163,0.0292485
164,0.504108
165,0.292809
166,0.0773391
167,0.84138
168,0.0686871
169,0.635281
170,0.622699
171,0.359547
172,0.774068
173,0.121442
174,0.204855
175,0.994464
176,0.963606
177,0.755762
178,0.820128
179,0.535596
180,0.16178
181,0.98498
182,0.956358
183,0.757391
184,0.394129
185,0.50274
186,0.00952529
187,0.0643339
188,0.00480274
189,0.0953009
190,0.986204
191,0.218912
192,0.734437
193,0.191714
194,0.0197611
195,0.973024
196,0.520263
197,0.250331
198,0.109977
199,0.904442
200,0.332172
201,0.38479
202,0.173097
203,0.786002
204,0.744143
205,0.0280081
206,0.597175
207,0.0439148
208,0.0956718
209,0.804755
210,0.199648
211,0.40932
212,0.936112
213,0.329075
214,0.287359
215,0.564408
216,0.294762
217,0.973645
218,0.075591
219,0.960809
220,0.962511
221,0.0996079
222,0.971699
223,0.919559
224,0.0287225
225,0.917752
226,0.849771
227,0.94624
228,0.404861
229,0.740665
230,0.122315
231,0.68852
232,0.0591258
233,0.338923
234,0.179099
